track_title,artist_name,track_id,duration_ms,energy,key,mode,time_signature,acousticness,danceability,instrumentalness,liveness,loudness,speechiness,valence,tempo,On_chart
Long Tall Glasses ,Leo Sayer,3AA2SafseoJo431Pee120g,190000,0.884,9,1,3,0.247,0.6409999999999999,0.00031600000000000004,0.132,-7.17,0.06,0.758,142.996,1
Love Finds It's Own Way,Gladys Knight And The Pips,63JVnlHLL6QffPbKiydH1g,234640,0.463,9,1,4,0.5710000000000001,0.552,9.06e-06,0.507,-9.028,0.0304,0.56,77.902,1
Reality,James Brown,1FUXYWHI6XCCxMcTQIsSm1,281560,0.586,0,1,4,0.624,0.6709999999999999,7.35e-06,0.484,-11.76,0.16,0.848,114.292,1
The Bertha Butt Boogie-Part 1,The Jimmy Castor Bunch,3cPr5rDiN6Jqu38UfsqHip,232240,0.526,8,1,4,0.0995,0.821,0.0254,0.0361,-17.776,0.0588,0.928,95.978,1
Like A Sunday Morning,Lana Cantrell,3jjBnB7v3HpQ0VD4A3QE5U,189989,0.884,3,1,4,0.104,0.363,0.0,0.15,2.291,0.0375,0.476,81.47,1
Linda On My Mind,Conway Twitty,1QBhszc25PesXgxCOAIdI2,155373,0.394,9,1,4,0.66,0.667,0.0,0.0653,-8.741,0.0259,0.531,108.432,1
Angel ,Atlanta Rhythm Section,4XWz0bKpnivMY0ShmKextK,311000,0.482,9,0,4,0.00546,0.406,0.272,0.13,-13.429,0.0404,0.787,119.827,1
L-O-V-E ,Al Green,49qkJtDdi3KHmENFzleve4,189307,0.468,5,1,4,0.019,0.665,0.0,0.0987,-9.558,0.027000000000000003,0.6990000000000001,109.432,1
It's A Miracle,Barry Manilow,0JNijCVL3ST5DjAQH9gWui,239053,0.826,8,1,4,0.35700000000000004,0.757,0.000305,0.12,-8.433,0.0454,0.912,129.8,1
Leona,Wet Willie,0GFI2nBSM3q1U08LnG6GVV,278667,0.8290000000000001,7,1,4,0.209,0.5760000000000001,0.0459,0.49,-10.854,0.0534,0.784,161.638,1
The Pill,Loretta Lynn,7ytzJQs2dMr3n8rjbhO7ZY,158960,0.344,5,1,4,0.74,0.6890000000000001,0.0,0.0677,-10.636,0.0353,0.795,77.62100000000002,1
Amie,Pure Prairie League,34FWzxRaGdAZyGQz0krlHF,259427,0.34600000000000003,9,1,4,0.374,0.3720000000000001,0.0,0.126,-15.268,0.0331,0.442,176.96400000000003,1
Turn To Stone,Joe Walsh,20IZ33kPSL7XV0WmKNaZVa,320200,0.623,0,1,4,0.00933,0.293,0.782,0.0832,-8.465,0.0364,0.188,141.776,1
Tangled Up In Blue,Bob Dylan,6Vcwr9tb3ZLO63F8DL8cqu,341627,0.6609999999999999,9,1,4,0.414,0.421,1.16e-06,0.0962,-13.126,0.0433,0.5539999999999999,100.965,1
What Am I Gonna Do With You,Barry White,097OvOx07eXC4UmdnywvoE,219440,0.8690000000000001,2,0,4,0.0246,0.625,0.0626,0.093,-9.467,0.0293,0.89,114.223,1
"Living A Little, Laughing A Little",The Spinners,5aASVSsaYValhqeZejRjsY,197786,0.287,7,0,4,0.775,0.578,0.000127,0.0509,-12.622,0.0383,0.35100000000000003,88.46,1
Who's Sorry Now,Marie Osmond,0Z26tC7zCiQ4khpDjDn8BZ,128600,0.433,6,1,4,0.616,0.329,3.42e-06,0.723,-8.46,0.0285,0.379,98.843,1
How Long,Ace,4AjKVyNUMdUveKK5OH1OJD,204227,0.406,0,0,4,0.5870000000000001,0.7170000000000001,0.103,0.0869,-13.954,0.0305,0.703,123.213,1
Shaving Cream,Benny Bell,03MBQiiyCqKLHi6I8F9cYu,179296,0.307,10,1,1,0.8909999999999999,0.674,0.0,0.233,-12.184,0.108,0.851,100.19,1
He Don't Love You ,Tony Orlando & Dawn,0XaaoZUWQFzcFiQbXKhABU,219947,0.55,9,1,4,0.287,0.637,1.85e-05,0.345,-12.378,0.0335,0.805,119.303,1
Stand By Me,John Lennon,3ntrdR24dLkKrzSGRv1FlH,211667,0.556,9,1,4,0.29,0.632,0.0215,0.0779,-10.138,0.0288,0.633,104.996,1
Young Americans,David Bowie,7uPmQttafLiJyju14JREY4,313707,0.763,4,0,4,0.171,0.614,0.0,0.119,-8.949,0.133,0.885,84.236,1
Autobahn,Kraftwerk,31uidLEHAcF8Cw1cX1VCS8,1367093,0.4970000000000001,2,1,4,0.105,0.333,0.872,0.129,-15.606,0.0366,0.113,81.681,1
Sneaky Snake,Tom T. Hall,4oRRizI27NGYpKpPRIMmUe,119600,0.35200000000000004,7,1,4,0.745,0.664,0.0,0.161,-14.901,0.0365,0.843,148.017,1
Cry To Me,Loleatta Holloway,40IKA5XuZRDzIqGttoCFCj,349960,0.605,8,1,3,0.28300000000000003,0.48,1.35e-05,0.467,-7.097,0.0363,0.472,102.561,1
Shakey Ground,The Temptations,1ELKkbWqtKRwvdCBGvETBp,241600,0.494,2,1,4,0.0189,0.747,0.604,0.0367,-13.459,0.0434,0.947,92.435,1
Thank God I'm A Country Boy,John Denver,69HICMmc6nNLucAx3aJX9M,193093,0.537,9,1,4,0.785,0.762,0.000669,0.0551,-9.58,0.0478,0.958,105.603,1
